"Population Estimates (dated to July 1), Minnesota",,,,,,,,,,,,,,,,
Population by Race/Ethnicity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Total Population, Minnesota","4,933,692","4,982,796","5,018,935","5,053,572","5,087,713","5,119,598","5,163,555","5,207,203","5,247,018","5,281,203"," 5,310,903 "," 5,348,119 "," 5,380,443 "," 5,420,541 "," 5,457,125 "," 5,489,594 "
White NH,"4,353,427","4,367,992","4,372,702","4,376,557","4,379,761","4,380,719","4,389,370","4,398,298","4,404,774","4,409,616"," 4,411,802 "," 4,420,628 "," 4,425,835 "," 4,435,277 "," 4,442,291 "," 4,446,535 "
Black/African American NH,"176,223","186,701","196,165","205,839","215,459","224,384","235,886","247,253","257,365","265,891"," 272,570 "," 281,535 "," 290,042 "," 299,641 "," 309,108 "," 317,130 "
American Indian/Alaska Native NH,"52,531","52,954","53,269","53,610","53,869","54,057","54,377","54,761","55,198","55,345"," 55,755 "," 56,416 "," 56,914 "," 57,654 "," 58,119 "," 58,603 "
Asian NH,"146,237","153,590","160,668","167,083","173,637","180,398","188,124","195,700","203,070","209,933"," 217,008 "," 225,988 "," 235,057 "," 245,073 "," 254,951 "," 264,609 "
Native Hawaiian/Pacific Islander NH,"1,790","1,839","1,891","1,884","1,910","1,943","1,956","2,026","2,024","2,078"," 2,001 "," 2,098 "," 2,147 "," 2,246 "," 2,341 "," 2,433 "
Two or More Races NH,"58,183","61,670","65,261","68,880","72,783","76,635","80,918","85,604","90,558","95,446"," 99,950 "," 103,184 "," 106,083 "," 109,333 "," 112,596 "," 116,070 "
Hispanic (of any race or races),"145,301","158,050","168,979","179,719","190,294","201,462","212,924","223,561","234,029","242,894"," 251,817 "," 258,270 "," 264,365 "," 271,317 "," 277,719 "," 284,214 "
This row intentionally left blank,,,,,,,,,,,,,,,,
Share of Total Population,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Total Population, Minnesota",100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
White NH,88.2%,87.7%,87.1%,86.6%,86.1%,85.6%,85.0%,84.5%,83.9%,83.5%,83.1%,82.7%,82.3%,81.8%,81.4%,81.0%
Black/African American NH,3.6%,3.7%,3.9%,4.1%,4.2%,4.4%,4.6%,4.7%,4.9%,5.0%,5.1%,5.3%,5.4%,5.5%,5.7%,5.8%
American Indian/Alaska Native NH,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%,1.0%,1.0%,1.1%,1.1%,1.1%,1.1%,1.1%
Asian NH,3.0%,3.1%,3.2%,3.3%,3.4%,3.5%,3.6%,3.8%,3.9%,4.0%,4.1%,4.2%,4.4%,4.5%,4.7%,4.8%
Native Hawaiian/Pacific Islander NH,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%
Two or More Races NH,1.2%,1.2%,1.3%,1.4%,1.4%,1.5%,1.6%,1.6%,1.7%,1.8%,1.9%,1.9%,2.0%,2.0%,2.1%,2.1%
Hispanic (of any race or races),2.9%,3.2%,3.4%,3.6%,3.7%,3.9%,4.1%,4.3%,4.5%,4.6%,4.7%,4.8%,4.9%,5.0%,5.1%,5.2%
This row intentionally left blank,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
